ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13749317,JJ150147,02/15/2025 02:01:00 AM,081XX S ST LOUIS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,0834,008,18,70,04A,1154466,1850485,2025,02/23/2025 03:41:06 PM,41.745546162,-87.709588284,POINT (-87.709588284 41.745546162)
13753383,JJ154694,02/15/2025 02:00:00 AM,004XX N Noble St,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,false,false,1215,012,1,24,06,1166983,1903024,2025,02/23/2025 03:41:06 PM,41.889460699,-87.66221994,POINT (-87.66221994 41.889460699)
13749818,JJ150727,02/15/2025 02:00:00 AM,055XX S PULASKI RD,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,true,0813,008,13,62,06,1150642,1867741,2025,02/23/2025 03:41:06 PM,41.792974653,-87.723151723,POINT (-87.723151723 41.792974653)
13749870,JJ150714,02/15/2025 02:00:00 AM,068XX N NORTHWEST HWY,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1612,016,41,9,14,1123633,1945022,2025,02/23/2025 03:41:06 PM,42.005528423,-87.820499145,POINT (-87.820499145 42.005528423)
13749396,JJ150146,02/15/2025 01:56:00 AM,015XX W 80TH ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0612,006,17,71,08A,1167608,1851683,2025,02/23/2025 03:41:06 PM,41.748562136,-87.661399109,POINT (-87.661399109 41.748562136)
13749414,JJ150143,02/15/2025 01:52:00 AM,020XX W NORTH AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1424,014,1,24,08B,1162517,1910645,2025,02/23/2025 03:41:06 PM,41.910467985,-87.678407267,POINT (-87.678407267 41.910467985)
13749311,JJ150142,02/15/2025 01:52:00 AM,011XX S INDEPENDENCE BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1133,011,24,29,08B,1151433,1894686,2025,02/23/2025 03:41:06 PM,41.866899854,-87.71954524,POINT (-87.71954524 41.866899854)
13749364,JJ150141,02/15/2025 01:51:00 AM,021XX N RICHMOND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1414,014,1,22,14,1156592,1914168,2025,02/23/2025 03:41:06 PM,41.920257464,-87.700077956,POINT (-87.700077956 41.920257464)
13750123,JJ150148,02/15/2025 01:50:00 AM,032XX N HALSTED ST,0870,THEFT,POCKET-PICKING,ATHLETIC CLUB,false,false,1924,019,44,6,06,1170348,1921937,2025,02/23/2025 03:41:06 PM,41.941286092,-87.649308375,POINT (-87.649308375 41.941286092)
13749389,JJ150164,02/15/2025 01:46:00 AM,048XX W WASHINGTON BLVD,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,false,true,1532,015,28,25,04B,1144109,1900066,2025,02/23/2025 03:41:06 PM,41.881803794,-87.746297767,POINT (-87.746297767 41.881803794)
13749335,JJ150151,02/15/2025 01:45:00 AM,051XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0822,008,14,63,08B,1153913,1870229,2025,02/23/2025 03:41:06 PM,41.799737747,-87.711091167,POINT (-87.711091167 41.799737747)
13749395,JJ150140,02/15/2025 01:42:00 AM,030XX N RACINE AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1933,019,32,6,08B,1167756,1920476,2025,02/23/2025 03:41:06 PM,41.9373334,-87.658877179,POINT (-87.658877179 41.9373334)
13750462,JJ150138,02/15/2025 01:40:00 AM,035XX N CLARK ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1924,019,44,6,08B,1168583,1923729,2025,02/23/2025 03:41:06 PM,41.946241881,-87.655743334,POINT (-87.655743334 41.946241881)
13749413,JJ150199,02/15/2025 01:40:00 AM,019XX W NORTH AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1424,014,1,24,08B,1162979,1910660,2025,02/23/2025 03:41:06 PM,41.910499454,-87.676709634,POINT (-87.676709634 41.910499454)
13749318,JJ150139,02/15/2025 01:38:00 AM,007XX N LAWNDALE AVE,2027,NARCOTICS,POSSESS - CRACK,ALLEY,true,false,1112,011,27,23,18,1151585,1904728,2025,02/23/2025 03:41:06 PM,41.894453197,-87.718723215,POINT (-87.718723215 41.894453197)
13749409,JJ150165,02/15/2025 01:31:00 AM,071XX S PRINCETON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,true,false,0731,007,6,69,15,1175529,1857661,2025,02/23/2025 03:41:06 PM,41.764793071,-87.632195313,POINT (-87.632195313 41.764793071)
